id	question	choices_A	choices_B	choices_C	choices_D	answer	explanation
1	"次のコードの出力結果は？
print([i**2 for i in range(3)])"	[0, 1, 4]	[1, 4, 9]	[0, 1, 2]	[1, 2, 3]	A	range(3)は0,1,2を生成。それぞれ二乗して[0,1,4]になる。
2	"次のコードの出力結果は？
s = ""Python""
print(s[::-1])"	nohtyP	nothyP	nohyP	エラーになる	A	スライス[::-1]は逆順になる。
3	"次のコードの出力結果は？
try:
    1 / 0
except ZeroDivisionError:
    print(""division by zero"")
except:
    print(""some error"")"	division by zero	some error	何も表示されない	エラーになる	A	ZeroDivisionErrorが発生し、最初のexceptに捕まる。
4	"次のコードの結果は？
a = [1, 2, 3]
b = a
b.append(4)
print(a)"	[1, 2, 3]	[1, 2, 3, 4]	[1, 2, 4]	エラーになる	B	aとbは同じリストを指しているのでbの変更はaにも影響する。
5	キーが存在しない場合にデフォルト値を返すメソッドはどれ？	get()	set()	pop()	update()	A	get(key, default)はキーがなければデフォルトを返す。
6	ファイルを読み取り専用で開き、かつ自動で閉じる方法はどれ？	"file.open(""r"")"	"with open(file, ""r""):"	"open(file, ""r"").close()"	"file = open(file, ""w"")"	B	with構文を使うと安全に自動でファイルを閉じる。
7	"次の関数の返り値は？
def func(x, y=5):
    return x + y

print(func(3))"	3	5	8	エラー	C	デフォルト引数y=5なので3+5=8になる。
8	"次のコードの結果は？
a = iter([1, 2, 3])
print(next(a))
print(next(a))"	1\n2	1\n3	2\n3	エラーになる	A	iter()でイテレータ生成、next()で次の要素取得。
9	"次のコードの出力は？
class A:
    def __init__(self):
        self.value = 10

obj = A()
print(obj.value)"	0	10	None	エラーになる	B	__init__でvalueに10が設定されている。
10	デコレータについて正しい説明はどれ？	関数に新たな機能を付与できる	関数を削除する機能	クラスを破棄する機能	モジュールをインポートする機能	A	デコレータは関数に機能を追加できる。
11	"次のコードの出力結果は？
print([x for x in range(5) if x % 2 == 0])"	[0, 1, 2, 3, 4]	[0, 2, 4]	[1, 3]	[2, 4]	B	偶数のみ抽出されるので[0,2,4]。
